Tone,Date,Newspaper
0.003690037,"May 30, 2019",CD
0,"May 30, 2018",CD
0.010903427,"May 30, 2016",CD
0.012084592,"May 30, 2016",CD
0.018867925,"May 30, 2015",CD
-0.011090573,"May 3, 2018",CD
-0.001577287,"May 3, 2018",CD
-0.009463722,"May 3, 2018",CD
0.011535049,"May 3, 2018",CD
-0.009090909,"May 3, 2018",CD
0.009235936,"May 3, 2017",CD
0,"May 3, 2017",CD
0.074750831,"May 3, 2016",CD
0.002222222,"May 29, 2018",CD
-0.011097411,"May 29, 2018",CD
0.018867925,"May 29, 2015",CD
0.018209408,"May 28, 2018",CD
-0.026666667,"May 28, 2016",CD
-0.003184713,"May 27, 2019",CD
0.028571429,"May 27, 2019",CD
0.007246377,"May 27, 2019",CD
-0.004846527,"May 27, 2019",CD
-0.03525641,"May 27, 2019",CD
0.03880597,"May 27, 2016",CD
0.026604069,"May 27, 2016",CD
0.02685624,"May 27, 2016",CD
0.039634146,"May 27, 2016",CD
-0.042253521,"May 27, 2016",CD
0.049115914,"May 26, 2015",CD
-0.021959459,"May 25, 2019",CD
0.013755158,"May 25, 2019",CD
0.015280136,"May 25, 2019",CD
0,"May 25, 2019",CD
0.014567266,"May 25, 2019",CD
0.015873016,"May 25, 2018",CD
0.014272971,"May 25, 2017",CD
0.047227926,"May 25, 2015",CD
0.021551724,"May 25, 2015",CD
0.045126354,"May 25, 2015",CD
0.036458333,"May 25, 2015",CD
0.03442623,"May 25, 2015",CD
0.018181818,"May 25, 2015",CD
-0.011864407,"May 24, 2019",CD
-0.008097166,"May 24, 2019",CD
-0.014251781,"May 24, 2019",CD
0.036784741,"May 24, 2019",CD
0.060606061,"May 24, 2019",CD
0.035330261,"May 24, 2018",CD
-0.030769231,"May 24, 2018",CD
-0.006504065,"May 24, 2018",CD
-0.00295421,"May 23, 2019",CD
0.016081871,"May 23, 2019",CD
0.02247191,"May 23, 2019",CD
-0.008368201,"May 23, 2019",CD
-0.028828829,"May 23, 2019",CD
0.023988006,"May 23, 2018",CD
0.056,"May 23, 2015",CD
0.07120743,"May 23, 2015",CD
0.061776062,"May 23, 2015",CD
0.028985507,"May 23, 2015",CD
0,"May 22, 2019",CD
0.013717421,"May 22, 2019",CD
0,"May 22, 2019",CD
0.022556391,"May 22, 2017",CD
0.043656207,"May 22, 2015",CD
0.058394161,"May 22, 2015",CD
0.045126354,"May 22, 2015",CD
0.046554935,"May 22, 2015",CD
0.036458333,"May 22, 2015",CD
0.036458333,"May 22, 2015",CD
0.031796502,"May 22, 2015",CD
0.03442623,"May 22, 2015",CD
0.030864198,"May 22, 2015",CD
0.03236246,"May 22, 2015",CD
0.02247191,"May 22, 2015",CD
0,"May 22, 2014",CD
-0.046044864,"May 21, 2019",CD
-0.020289855,"May 21, 2019",CD
-0.003937008,"May 21, 2018",CD
0.044854881,"May 21, 2018",CD
0.032629559,"May 21, 2015",CD
0.043656207,"May 21, 2015",CD
-0.012779553,"May 21, 2015",CD
-0.013029316,"May 21, 2015",CD
-0.015459723,"May 20, 2019",CD
0.03861518,"May 20, 2017",CD
0.03861518,"May 20, 2017",CD
0.035114504,"May 20, 2015",CD
0.05952381,"May 20, 2015",CD
0.062968516,"May 20, 2015",CD
0.037958115,"May 20, 2015",CD
-0.019680197,"May 20, 2014",CD
-0.019680197,"May 20, 2014",CD
0.034682081,"May 2, 2018",CD
0.056737589,"May 19, 2018",CD
0.020602219,"May 19, 2017",CD
0.023450586,"May 19, 2017",CD
0.028268551,"May 19, 2017",CD
0.024390244,"May 19, 2015",CD
0.02640264,"May 19, 2015",CD
0.019575856,"May 19, 2015",CD
0.038157895,"May 19, 2015",CD
0.038157895,"May 19, 2015",CD
0.021978022,"May 19, 2015",CD
-0.020044543,"May 19, 2015",CD
-0.01063022,"May 19, 2014",CD
0.017366136,"May 19, 2014",CD
0.025039124,"May 18, 2019",CD
-0.006944444,"May 18, 2019",CD
-0.003389831,"May 18, 2018",CD
0.011188811,"May 18, 2018",CD
-0.011363636,"May 18, 2018",CD
0.05866426,"May 18, 2015",CD
0.058348294,"May 18, 2015",CD
0.02173913,"May 18, 2015",CD
0.02173913,"May 18, 2015",CD
0.022727273,"May 18, 2015",CD
-0.00952381,"May 18, 2014",CD
-0.033870968,"May 17, 2019",CD
-0.001818182,"May 17, 2018",CD
0.029850746,"May 17, 2018",CD
0.028089888,"May 17, 2018",CD
